Time Ch1 Ch2	
-1.904E-4	0.24000	-0.04400
-1.900E-4	0.26000	-0.06000
-1.896E-4	0.21000	-0.06400
-1.892E-4	0.22000	-0.06000
-1.888E-4	0.24000	-0.05600
-1.884E-4	0.24000	-0.04000
-1.880E-4	0.23000	-0.03200
-1.876E-4	0.21000	-0.02800
-1.872E-4	0.24000	-0.04000
-1.868E-4	0.24000	-0.01600
-1.864E-4	0.21000	-0.01200
-1.860E-4	0.24000	-0.01200
-1.856E-4	0.24000	-0.02000
-1.852E-4	0.26000	-0.03200
-1.848E-4	0.23000	-0.02800
-1.844E-4	0.21000	-0.03600
-1.840E-4	0.22000	-0.03200
-1.836E-4	0.24000	-0.05200
-1.832E-4	0.21000	-0.06000
-1.828E-4	0.23000	-0.05600
-1.824E-4	0.23000	-0.04000
-1.820E-4	0.23000	-0.04000
-1.816E-4	0.21000	-0.02000
-1.812E-4	0.19000	-0.02000
-1.808E-4	0.24000	-0.03600
-1.804E-4	0.24000	-0.03200
-1.800E-4	0.21000	-0.03600
-1.796E-4	0.23000	-0.03600
-1.792E-4	0.25000	-0.02000
-1.788E-4	0.24000	-0.01200
-1.784E-4	0.23000	0.00800
-1.780E-4	0.24000	0.00800
-1.776E-4	0.21000	-0.01200
-1.772E-4	0.26000	-0.01600
-1.768E-4	0.25000	-0.02800
-1.764E-4	0.23000	-0.02800
-1.760E-4	0.23000	-0.02000
-1.756E-4	0.21000	-0.02000
-1.752E-4	0.22000	-0.02000
-1.748E-4	0.22000	-0.02000
-1.744E-4	0.24000	-0.03200
-1.740E-4	0.22000	-0.02400
-1.736E-4	0.21000	-0.02800
-1.732E-4	0.21000	-0.02000
-1.728E-4	0.24000	-0.03200
-1.724E-4	0.21000	-0.04400
-1.720E-4	0.23000	-0.03200
-1.716E-4	0.21000	-0.04400
-1.712E-4	0.24000	-0.04400
-1.708E-4	0.23000	-0.02400
-1.704E-4	0.23000	-0.02800
-1.700E-4	0.25000	-0.01200
-1.696E-4	0.23000	-0.02000
-1.692E-4	0.22000	-0.00800
-1.688E-4	0.22000	-0.00800
-1.684E-4	0.22000	-0.01200
-1.680E-4	0.24000	-0.02800
-1.676E-4	0.23000	-0.03200
-1.672E-4	0.23000	-0.02800
-1.668E-4	0.23000	-0.03200
-1.664E-4	0.22000	-0.01600
-1.660E-4	0.24000	-0.01200
-1.656E-4	0.25000	0.00800
-1.652E-4	0.25000	-0.02000
-1.648E-4	0.21000	-0.02000
-1.644E-4	0.22000	-0.02800
-1.640E-4	0.22000	-0.04000
-1.636E-4	0.24000	-0.04000
-1.632E-4	0.24000	-0.03200
-1.628E-4	0.21000	-0.02800
-1.624E-4	0.22000	-0.02800
-1.620E-4	0.24000	-0.01200
-1.616E-4	0.21000	-0.02800
-1.612E-4	0.24000	-0.02400
-1.608E-4	0.24000	-0.02400
-1.604E-4	0.21000	-0.03600
-1.600E-4	0.23000	-0.04400
-1.596E-4	0.23000	-0.04000
-1.592E-4	0.21000	-0.03600
-1.588E-4	0.22000	-0.04000
-1.584E-4	0.22000	-0.05200
-1.580E-4	0.22000	-0.04400
-1.576E-4	0.21000	-0.02000
-1.572E-4	0.24000	-0.00400
-1.568E-4	0.23000	-0.01200
-1.564E-4	0.23000	-0.01200
-1.560E-4	0.21000	-0.03600
-1.556E-4	0.24000	-0.02000
-1.552E-4	0.24000	-0.02000
-1.548E-4	0.25000	-0.01600
-1.544E-4	0.23000	-0.01600
-1.540E-4	0.21000	-0.02000
-1.536E-4	0.22000	-0.02400
-1.532E-4	0.25000	-0.02400
-1.528E-4	0.23000	-0.00800
-1.524E-4	0.22000	-0.02800
-1.520E-4	0.24000	-0.00800
-1.516E-4	0.21000	0.00400
-1.512E-4	0.22000	-0.01200
-1.508E-4	0.24000	-0.02400
-1.504E-4	0.24000	-0.03200
-1.500E-4	0.23000	-0.03600
-1.496E-4	0.23000	-0.01600
-1.492E-4	0.24000	-0.02000
-1.488E-4	0.23000	-0.02000
-1.484E-4	0.23000	-0.03200
-1.480E-4	0.23000	-0.02800
-1.476E-4	0.23000	-0.00800
-1.472E-4	0.25000	-0.01600
-1.468E-4	0.23000	-0.04000
-1.464E-4	0.23000	-0.03200
-1.460E-4	0.24000	-0.03200
-1.456E-4	0.22000	-0.01600
-1.452E-4	0.22000	-0.00800
-1.448E-4	0.24000	-0.01600
-1.444E-4	0.22000	-0.02800
-1.440E-4	0.24000	-0.01600
-1.436E-4	0.21000	-0.00800
-1.432E-4	0.24000	-0.01600
-1.428E-4	0.21000	-0.01600
-1.424E-4	0.25000	-0.01200
-1.420E-4	0.23000	0.00400
-1.416E-4	0.23000	0.01200
-1.412E-4	0.19000	0.00400
-1.408E-4	0.22000	-0.01600
-1.404E-4	0.22000	-0.03200
-1.400E-4	0.24000	-0.02400
-1.396E-4	0.24000	-0.01600
-1.392E-4	0.23000	-0.02400
-1.388E-4	0.23000	-0.02800
-1.384E-4	0.26000	-0.01600
-1.380E-4	0.21000	-0.01200
-1.376E-4	0.22000	-0.02000
-1.372E-4	0.24000	-0.03600
-1.368E-4	0.23000	-0.05200
-1.364E-4	0.24000	-0.04800
-1.360E-4	0.21000	-0.02400
-1.356E-4	0.22000	-0.00800
-1.352E-4	0.24000	0.00000
-1.348E-4	0.23000	0.00800
-1.344E-4	0.22000	-0.00800
-1.340E-4	0.22000	-0.01600
-1.336E-4	0.24000	-0.02000
-1.332E-4	0.23000	0.00000
-1.328E-4	0.22000	-0.01200
-1.324E-4	0.24000	-0.02000
-1.320E-4	0.23000	-0.02400
-1.316E-4	0.23000	-0.05200
-1.312E-4	0.26000	-0.04800
-1.308E-4	0.23000	-0.05600
-1.304E-4	0.23000	-0.04000
-1.300E-4	0.23000	-0.04400
-1.296E-4	0.23000	-0.02800
-1.292E-4	0.24000	-0.00800
-1.288E-4	0.21000	-0.02000
-1.284E-4	0.25000	-0.02400
-1.280E-4	0.23000	-0.03600
-1.276E-4	0.21000	-0.03200
-1.272E-4	0.23000	-0.01600
-1.268E-4	0.23000	-0.00400
-1.264E-4	0.23000	-0.00400
-1.260E-4	0.23000	-0.02800
-1.256E-4	0.24000	-0.00800
-1.252E-4	0.24000	-0.02000
-1.248E-4	0.23000	-0.02000
